time,Tinlet,Flowrate,Heat_flux,Tmax,Tmax_prev
15045,24.632534,205.697665,34.40971484,51.172892,51.124308
15046,24.631578,206.330863,34.23789887,51.205785,51.172892
15047,24.629396,206.068786,34.40971484,51.239733,51.205785
15048,24.619573,205.652046,34.58153082,51.270949,51.239733
15049,24.633226,205.978362,34.86611137,51.31699,51.270949
15050,24.64647,206.156067,34.69288147,51.349777,51.31699
15051,24.639265,205.674157,34.23789887,51.382646,51.349777
15052,24.644908,205.647274,34.40971484,51.419278,51.382646
15053,24.648995,205.536601,34.40971484,51.444918,51.419278
15054,24.633734,205.52124,34.40971484,51.476227,51.444918
15055,24.637999,206.183881,34.58153082,51.499785,51.476227
15056,24.643115,205.980923,34.40971484,51.541309,51.499785
15057,24.648191,205.789951,34.40971484,51.576932,51.541309
15058,24.64585,205.829518,34.86611137,51.610944,51.576932
15059,24.643088,205.649951,34.69288147,51.631917,51.610944
15060,24.641065,206.452708,34.40971484,51.667589,51.631917
15061,24.641368,206.186907,34.40971484,51.693811,51.667589
15062,24.650993,205.673575,34.69288147,51.719898,51.693811
15063,24.649549,205.605845,34.58153082,51.749372,51.719898
15064,24.643721,206.590497,34.67109943,51.772083,51.749372
15065,24.64268,207.341001,34.50773406,51.804203,51.772083
15066,24.650821,206.407555,34.69288147,51.82726,51.804203
15067,24.659523,206.419425,34.40971484,51.869124,51.82726
15068,24.664691,206.105095,34.51965158,51.900321,51.869124
15069,24.659213,205.904115,34.40971484,51.913002,51.900321
15070,24.639819,205.444549,34.51965158,51.920653,51.913002
15071,24.65769,205.764348,34.69288147,51.971698,51.920653
15072,24.653221,206.51718,34.40971484,51.984011,51.971698
15073,24.657934,205.828936,34.86611137,52.017016,51.984011
15074,24.649707,205.359944,34.69288147,52.019121,52.017016
15075,24.652357,206.338544,34.69288147,52.05304,52.019121
15076,24.658105,205.093211,34.58153082,52.062036,52.05304
15077,24.664836,206.644378,34.69288147,52.08822,52.062036
15078,24.656655,205.972078,34.40971484,52.09916,52.08822
15079,24.665001,206.036317,34.40971484,52.139091,52.09916
15080,24.66096,206.166541,34.69288147,52.145511,52.139091
15081,24.662127,206.029335,34.69288147,52.180232,52.145511
15082,24.660228,206.697678,34.86611137,52.187167,52.180232
